File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Code\fs_project\count line copy\db element\algorithm_server\access_firebaseDB.py,177,144,8,14,33,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\algorithm_server\access_realtime.py,185,152,7,7,33,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\algorithm_server\AppendSubscribleData.py,57,51,3,11,6,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\algorithm_server\client.py,94,81,4,11,13,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\algorithm_server\make_model.py,26,24,0,0,2,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\algorithm_server\server.py,294,251,17,35,43,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\api_connection\kakao_api.js,74,58,33,2,11,15,5,66,0,0
C:\Code\fs_project\count line copy\db element\api_connection\kakao_page_api.js,74,58,33,2,11,10,5,58,0,0
C:\Code\fs_project\count line copy\db element\api_connection\naver_api.js,79,63,36,2,10,3,6,34,0,0
C:\Code\fs_project\count line copy\db element\api_connection\naver_api_finished.js,64,51,33,1,8,3,5,29,0,0
C:\Code\fs_project\count line copy\db element\api_connection\test.js,43,37,45,1,6,5,0,14,0,0
C:\Code\fs_project\count line copy\db element\serverLoc\server_copy.py,369,321,20,52,48,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\algorithm_naver(finished).py,53,43,3,5,10,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\algorithm_naver.py,62,49,3,6,13,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\duplication_delete.py,32,23,10,2,9,1,0,1,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\finished_webtoon.py,86,68,6,9,18,1,0,1,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\genre_db_kakao.py,78,56,0,1,22,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\genre_db_naver.py,121,95,7,10,26,1,0,1,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\make_genre_DB.py,79,70,2,7,9,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\search.py,60,45,1,4,15,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\setting_mongoDB\wrong_value_delete.py,32,24,4,1,8,0,0,0,0,0
C:\Code\fs_project\count line copy\db element\src\client.js,1078,580,391,64,109,0,389,2439,30,164
C:\Code\fs_project\count line copy\db element\src\client_interceptors.js,1445,843,686,109,69,0,533,2631,139,672
C:\Code\fs_project\count line copy\db element\src\common.js,367,68,59,20,40,0,259,1329,17,100
C:\Code\fs_project\count line copy\db element\src\constants.js,267,65,15,0,9,0,193,1130,28,148
C:\Code\fs_project\count line copy\db element\src\credentials.js,277,109,91,21,24,0,144,814,45,252
C:\Code\fs_project\count line copy\db element\src\grpc_extension.js,63,37,34,1,5,0,21,106,21,106
C:\Code\fs_project\count line copy\db element\src\metadata.js,251,129,103,24,20,0,102,633,17,100
C:\Code\fs_project\count line copy\db element\src\protobuf_js_5_common.js,174,83,63,22,14,0,77,476,21,106
C:\Code\fs_project\count line copy\db element\src\protobuf_js_6_common.js,165,81,60,20,16,0,68,405,21,106
C:\Code\fs_project\count line copy\db element\src\server.js,1004,539,441,55,65,0,400,2278,17,100
