File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Code\fs_project\count line copy\db element\algorithm_server\server.py,"min(num_works, total_document))          random_documents = list(collection.find().limit(num_works).skip(random_indices[0])",5,5,1,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,ClientUnaryCall(call),3,3,3,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,ClientWritableStream(call),7,7,8,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,"_write(chunk, encoding, callback)",23,17,13,2,0,0,6,49,
C:\Code\fs_project\count line copy\db element\src\client.js,ClientReadableStream(call),10,7,8,0,0,0,3,25,
C:\Code\fs_project\count line copy\db element\src\client.js,_readsDone(status),11,10,9,2,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,_receiveStatus(status),4,3,3,0,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,_emitStatusIfDone(),17,16,13,3,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,_read(size),13,12,9,2,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,ClientDuplexStream(call),12,9,10,0,0,0,3,25,
C:\Code\fs_project\count line copy\db element\src\client.js,cancel(),3,2,2,0,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,getPeer(),3,2,2,1,0,0,1,4,
C:\Code\fs_project\count line copy\db element\src\client.js,"Client(address, credentials, options)",50,43,31,7,3,0,4,39,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(method_definition, interceptors, interceptor_providers)",13,13,9,4,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(path, serialize, deserialize, argument, metadata, options, callback)",83,71,39,7,11,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(path, serialize, deserialize, metadata, options, callback)",80,68,37,7,11,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(path, serialize, deserialize, argument, metadata, options)",65,55,27,5,9,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(path, serialize, deserialize, metadata, options)",63,52,25,5,10,0,1,5,
C:\Code\fs_project\count line copy\db element\src\client.js,function(),2,2,2,0,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,function(),2,2,2,1,0,0,0,0,
C:\Code\fs_project\count line copy\db element\src\client.js,"function(deadline, callback)",30,28,24,2,0,0,2,18,
C:\Code\fs_project\count line copy\db element\src\client.js,"getDefaultValues(metadata, options)",5,5,7,1,0,0,0,0,
