Word,Count
\),\,43
{,26
child:,21
import,20
=,18
},17
the,15
String,10
final,10
//,8
async,8
await,8
Add,7
\},\,7
(),7
for,7
,6
=>,6
:,6
listen:,6
if,6
const,6
Text(,6
Container(,5
color:,5
return,5
onPressed:,5
\null,\,5
Future<void>,4
var,4
조절,4
\postId,\,4
오류,4
padding:,4
title:,4
자동,4
children:,4
_isLoading,4
as,4
on,4
\],\,4
재생,4
페이지,4
of,4
\1,\,4
any,3
decoding,3
Column(,3
간격,3
result,3
needed,3
false),3
\Colors.white,\,3
IconButton(,3
URL,3
notifyListeners();,3
활성화,3
\boardId,\,3
\contents,\,3
with,3
<Widget>[,3
\post.title!,\,3
스크롤,3
class,3
);,3
icon:,3
[,3
static,3
),3
tap,3
style:,3
이미지,3
@override,3
this,3
'),3
JSON,3
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/posts.json?auth=$authToken');,3
json,3
글자,2
header,2
\context,\,2
이미지를,2
imageUrl,2
\Theme.of(context).primaryColor,\,2
Center(,2
Align(,2
응답,2
'https://chatting-test-863cb-default-rtdb.firebaseio.com/posts.json?auth=$authToken&$filterString');,2
+,2
Padding(,2
backgroundColor:,2
alignment:,2
\익명,\,2
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/posts/$id.json?auth=$authToken');,2
CircleAvatar(,2
dart:convert,2
네트워크,2
body:,2
\post.id!,\,2
SizedBox(,2
datetime:,2
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/comments.json?auth=$authToken');,2
\true,\,2
등의,2
==,2
entry,2
false;,2
additional,2
이미지의,2
설정,2
is,2
setState((),2
contents:,2
목록,2
extends,2
based,2
내용,2
or,2
데이터로,2
서버로부터,2
제목,2
댓글,2
width:,2
String;,2
파싱,2
간의,2
Combine,2
변경,2
library,2
\EdgeInsets.all(8),\,2
id:,2
\수정,\,2
\Theme.of(context).primaryColor),\,2
content:,2
부분,2
'https:$imageUrl';,2
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/notifications.json?auth=$authToken');,2
이벤트,2
처리,2
예외,2
받아오는,2
자신이면,2
});,2
애니메이션,2
actions:,2
\Provider.of<Posts>(context,\,2
_PostDetailScreenState,2
authUserId,2
\_refreshPosts(context,\,2
void,2
Import,2
API,2
postId:,2
비율,2
_commentFocusNode.unfocus();,2
datetime,2
\response,\,2
\Provider.of<Comments>(context,\,2
TextStyle(,2
textAlign:,2
decoration:,2
두께,2
user,2
TextButton(,2
버튼,2
활성,2
a,2
위젯,2
null;,2
image:,2
자기,2
핸들링,2
variable,2
height:,2
webtoonListWidgets,2
handling,2
아이콘,,2
\postTitle,\,2
Launch,2
data,2
테두리의,2
글쓴이가,2
each,2
implement,2
삭제,2
TODO:,2
comments,2
that,1
data.docs.map<Post>((e),1
/Example,1
commentText,1
document,1
Flexible(,1
\_commentFocusNode,\,1
up,1
채우도록,1
PostRepository.loadFeedList();,1
key:,1
Function,1
postData),1
\'취소',\,1
],1
whole,1
_refreshPosts(,1
\operation,\,1
'package:cloud_firestore/cloud_firestore.dart';,1
댓글:,1
PostDetailScreen,1
둥글기,1
action,1
showDialog(,1
Invalid,1
overflow:,1
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/boards.json?auth=$authToken');,1
arguments:,1
\_addComment(post.boardId!,\,1
print(feedList.length);,1
(post.userId,1
comment,1
.collection('post'),1
super.toString();,1
Text('No,1
false).addComment(comment);,1
Text(DateFormat('yy/MM/dd,1
main,1
Icon(,1
재시도를,1
모서리,1
'package:flutter_fancy_container/flutter_fancy_container.dart';,1
project,1
print(userId.runtimeType);,1
높이,1
PostRepository,1
context),1
Perform,1
TextStyle(fontWeight:,1
무한,1
위해,1
LiquidSwipe,1
'../repository/post_repository.dart';,1
CommentItem(comment.id)),1
현재,1
BuildContext,1
2초,1
noti;,1
Form(,1
context:,1
some,1
방법으로,1
Navigator.of(context).pop();,1
initState,1
순방향,1
번에,1
other,1
\.toList()),\,1
thickness:,1
comment:,1
Instance,1
State<PostDetailScreen>,1
\AssetImage(IconsPath.loginPage),\,1
Scaffold(,1
super(key:,1
_addNotification(String,1
FlutterFancyContainer(,1
\id),\,1
null);,1
최대,1
empty,1
입력하세요.';,1
try,1
\WaveDemoApp(),\,1
Update,1
post.boardId});,1
\Colors.black26),\,1
'boardId':,1
GestureDetector(,1
suits,1
colorTwo:,1
dispose(),1
\_buildPlatformGrid(),\,1
\Colors.purple,\,1
\_formKey,\,1
post.userId,1
list,1
TextStyle(color:,1
focusNode:,1
\"\\,1
FocusNode();,1
Optional:,1
(error),1
onTap:,1
when,1
정렬,1
response,1
Define,1
true),1
\TextAlign.center,\,1
'../screens/edit_post_screen.dart';,1
icon,1
\EdgeInsets.all(8.0),\,1
'../widgets/comment_item.dart';,1
\입력하세요."\,\,1
\commentText,\,1
document.get();,1
\receiverId,\,1
borderSide:,1
identitytoolkit.googleapis.com/v1/accounts:$urlSegment?key=AIzaSyB3hf5BEjHRhdul3KS_3ki2YTmv_i0hKOc');,1
builder:,1
'../providers/auth.dart';,1
border의,1
'package:flutter/material.dart';,1
.map((comment),1
초기,1
your,1
receiverId),1
{'postId':,1
'package:intl/intl.dart';,1
\Post.fromJson(e.id,\,1
'댓글을,1
GlobalKey<FormState>,1
!=,1
_commentFocusNode,1
\Icon(Icons.send),\,1
\Color(0xffE6E6E6),\,1
physics:,1
\Icons.person,\,1
catch,1
속도,1
\_commentTextEditController,\,1
colorOne:,1
FirebaseFirestore.instance.collection('post').add(postData.toMap());,1
scale,1
Navigator.of(ctx).pop(false);,1
\Color.fromRGBO(117,\,1
HH:mm:ss'),1
post.id,1
방향,1
appBar:,1
suffixIcon:,1
_commentTextEditController.clear();,1
margin,1
TextEditingController();,1
\Text('익명'),\,1
배경,1
_commentTextEditController,1
BoxFit,1
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/notifications/$id.json?auth=$authToken');,1
단위),1
1로,1
print('input,1
'./postDetail';,1
가로세로,1
HttpException,1
(ctx),1
(_formKey.currentState,1
.validate()),1
'../models/notification.dart',1
hintStyle:,1
\comments'),\,1
descending:,1
userId:,1
*,1
onRefresh:,1
border:,1
Future<List<Post>>,1
_addComment(,1
\EdgeInsets.all(10.0),\,1
'../providers/comments.dart';,1
.showSnackBar(SnackBar(,1
또는,1
hintText:,1
rounded,1
ListTile,1
needs,1
Adjust,1
\AlwaysScrollableScrollPhysics(),\,1
false).fetchAndSetPosts(boardId);,1
\Provider.of<Auth>(context,\,1
receiverId:,1
_PostDetailScreenState();,1
Widget,1
maxLines:,1
Provider.of<Posts>(context).items.firstWhere((post),1
DecorationImage(,1
example),1
Check,1
FirebaseFirestore.instance,1
(delete,1
id);,1
Row(,1
fillColor:,1
\Color(0xffCCCCCC),\,1
Handle,1
'dart:io';,1
Sign,1
factor,1
_addNotification(,1
corners,1
controller:,1
SingleChildScrollView(,1
수행,1
super.dispose();,1
else,1
Printing,1
\post.boardId!,\,1
onInit,1
////////////////////////////////////////////////////////,1
화면에,1
post,1
\id,\,1
trash,1
false).userId,1
\Provider.of<Notifications>(context,\,1
post.userId!);,1
\]),\,1
_loadFeedList();,1
e.data())).toList();,1
AlertDialog(,1
\Text(post.contents!),\,1
\"\댓글을\,1
Navigator.pop(context);,1
comments.isEmpty,1
\'orderBy="\postId"\&equalTo="\$postId"\';\,1
tapped,1
보이는,1
new,1
'../providers/notifications.dart';,1
grid,1
_commentTextEditController.text);,1
notification,1
url,1
TextFormField(,1
//////////////////////////////////////////////////////,1
\Text("\page"\),\,1
\"\삭제하지\,1
\double.infinity,\,1
subtitle:,1
chatting-test-863cb-default-rtdb.asia-southeast1.firebasedatabase.app/notifications/ts,1
postId);,1
updatePost(Post,1
조작,1
InputDecoration(,1
launch,1
전달할,1
feedList,1
Comment(,1
id,1
맞게,1
primary:,1
key);,1
not,1
커브,1
텍스트,1
\BoxFit.cover,\,1
authUserId),1
PostDetailScreen({Key,1
\255,\,1
true;,1
.limit(10);,1
(초,1
board_screen에,1
\.orderBy('created_at',\,1
in,1
.fetchAndSetComments(postId);,1
routeName,1
\100,\,1
'package:project/providers/image_dart.dart';,1
\TextAlign.start,\,1
BoxDecoration(,1
