File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Code\fs_project\count line copy\project\app_drawer.dart,78,71,24,3,6,0,1,4,0,0
C:\Code\fs_project\count line copy\project\auth.dart,139,123,77,16,15,1,1,2,0,0
C:\Code\fs_project\count line copy\project\auth_screen.dart,272,252,85,16,13,0,7,19,0,0
C:\Code\fs_project\count line copy\project\board.dart,7,5,4,0,2,0,0,0,0,0
C:\Code\fs_project\count line copy\project\boards.dart,40,34,26,2,6,1,0,1,0,0
C:\Code\fs_project\count line copy\project\board_screen.dart,103,96,24,3,7,1,0,2,0,0
C:\Code\fs_project\count line copy\project\comment.dart,16,14,8,0,2,0,0,0,0,0
C:\Code\fs_project\count line copy\project\Comments.dart,108,90,53,4,16,3,2,8,0,0
C:\Code\fs_project\count line copy\project\comment_item.dart,100,95,26,4,5,0,0,0,0,0
C:\Code\fs_project\count line copy\project\edit_post_screen.dart,192,176,70,12,16,0,0,0,0,0
C:\Code\fs_project\count line copy\project\fluid_screen.dart,171,157,45,4,13,0,1,10,0,0
C:\Code\fs_project\count line copy\project\home_controller.dart,21,9,6,0,4,0,8,19,0,0
C:\Code\fs_project\count line copy\project\http_exception.dart,11,8,5,1,2,0,1,6,0,0
C:\Code\fs_project\count line copy\project\image_dart.dart,94,87,65,1,7,0,0,0,0,0
C:\Code\fs_project\count line copy\project\main.dart,97,92,25,3,5,0,0,0,0,0
C:\Code\fs_project\count line copy\project\main_page.dart,329,300,76,12,21,21,8,90,0,4
C:\Code\fs_project\count line copy\project\main_screen.dart,487,458,135,30,25,11,4,53,0,0
C:\Code\fs_project\count line copy\project\notification.dart,17,15,9,0,2,0,0,0,0,0
C:\Code\fs_project\count line copy\project\notifications.dart,109,91,59,5,14,3,4,8,0,0
C:\Code\fs_project\count line copy\project\notification_center_screen.dart,71,65,14,3,6,0,0,0,0,0
C:\Code\fs_project\count line copy\project\notification_item.dart,68,65,19,2,3,0,0,0,0,0
C:\Code\fs_project\count line copy\project\post.dart,17,15,9,0,2,0,0,0,0,0
C:\Code\fs_project\count line copy\project\posts.dart,163,141,83,7,19,5,3,8,0,0
C:\Code\fs_project\count line copy\project\post_detail_screen.dart,623,284,79,9,29,0,310,634,305,620
C:\Code\fs_project\count line copy\project\post_item.dart,53,48,19,2,5,0,0,0,0,0
C:\Code\fs_project\count line copy\project\recommandation.dart,248,222,103,20,19,3,7,59,0,0
C:\Code\fs_project\count line copy\project\search_and_api_call.dart,110,99,52,9,9,2,2,17,0,0
C:\Code\fs_project\count line copy\project\search_screen.dart,122,107,35,5,7,1,8,15,0,0
C:\Code\fs_project\count line copy\project\splash_screen.dart,13,11,4,1,2,0,0,0,0,0
C:\Code\fs_project\count line copy\project\subscrible.dart,46,40,22,1,6,0,0,0,0,0
C:\Code\fs_project\count line copy\project\subscrible_page.dart,248,223,103,19,18,4,7,69,0,0
